"reaction","temp","Output"
"CCOC1=CC(N)=NC=C1*CC1=CC=CC(Br)=N1*O(CC)c1cc(Nc2nc(C)ccc2)ncc1","",2.283400603
"NC1=CC=CC=C1OC*CCCCC1=CC=C(Br)C=C1*O(C)c1c(Nc2ccc(CCCC)cc2)cccc1","",4.651659384
"N#CC1=CC(N)=NC=C1*CN(C)C1=NC=CC(Br)=C1*N#Cc1cc(Nc2cc(N(C)C)ncc2)ncc1","",0.129041749
"CC(C1=CC=CC=C1N)=O*CC1=NC=CC(Br)=C1*O=C(C)c1c(Nc2cc(C)ncc2)cccc1","",3.591523045
"NC1=CC=CC=C1F*CC1=CC=C(Br)C=C1C*Fc1c(Nc2cc(C)c(C)cc2)cccc1","",0.668998433
"N#CCC1=NC=CC=C1N*CC1=CC(Br)=CC(C)=N1*N#CCc1c(Nc2cc(C)nc(C)c2)cccn1","",7.924831964
"O=C(O)C1=CC=C(OC)C(N)=C1*COC1=CC(Br)=CC=C1*O=C(O)c1cc(Nc2cc(OC)ccc2)c(OC)cc1","",2.542274033
"O=C(OCC)C1=NC=CC(N)=C1*FC(C1=CC=CC(Br)=N1)F*FC(F)c1nc(Nc2cc(C(=O)OCC)ncc2)ccc1","",1.751441518
"O=C(OCC)C1=NC=CC(N)=C1*FC(C1=CC(Br)=NC=C1)(F)F*FC(F)(F)c1cc(Nc2cc(C(=O)OCC)ncc2)ncc1","",1.036113204
"O=C(OCC)C1=NC=CC(N)=C1*COC1=CC(Br)=CC=C1OC*O=C(OCC)c1nccc(Nc2cc(OC)c(OC)cc2)c1","",5.520254642
